protein	query length	HMM	HMM length	e-value	score	hmmbegin	hmmend	begin	end	coverage	num domaine	prediction confidence	EC prediction	comment
GUT_GENOME063111_68___36464___37930___-___MLIDNPGI_04364	488	S1_46	459	2.9e-202	665.0	2	458	6	471	99.3	1	high		
GUT_GENOME093573_9___3900___5366___-___GEGFECFM_00805	488	S1_46	459	4.1e-202	664.6	2	458	6	471	99.3	1	high		
GUT_GENOME023674_82___20938___22413___+___KNNAIKAL_04894	491	S1_43	470	7.3e-225	739.9	2	470	3	468	99.6	1	high		
GUT_GENOME084445_343___10789___12264___+___KKOGDCMD_02571	491	S1_43	470	1.7e-225	741.9	2	470	3	468	99.6	1	high		
GUT_GENOME084445_765___100___789___+___KKOGDCMD_05199	229	S1_52	473	8.2e-100	327.7	252	472	2	226	46.5	1	high		
GUT_GENOME096460_220___4736___6280___+___ADMJHJAO_04692	514	S1_108	495	1.4e-121	399.6	3	490	21	501	98.4	1	high		
GUT_GENOME029446_119___5227___6738___-___OCLNPGGP_04731	503	S1_15	471	1e-170	561.4	2	468	18	481	98.9	1	high	3.1.6.4 	
GUT_GENOME063111_39___44695___46149___-___MLIDNPGI_03161	484	S1_52	473	8.4e-98	321.1	2	466	2	471	98.1	1	several good hits		 good hit with these HMMs: S1_73(321.0);S1_52(321.1);S1_55(320.6);S1_59(320.3);S1_46(319.6);S1_54(318.3)
GUT_GENOME000264_4___336446___337750___-___EJGDIAPN_01620	434	S1_108	495	7.3e-193	634.7	59	490	1	427	87.1	1	high		
GUT_GENOME025112_51___24904___26373___+___LNFPPNAB_03973	489	S1_61	451	4.7e-207	680.9	1	450	2	455	99.6	1	high		
GUT_GENOME082304_108___28041___29507___-___HJIBOKND_05807	488	S1_46	459	2.2e-149	490.7	2	456	2	445	98.9	1	high		
GUT_GENOME063111_49___29213___30577___-___MLIDNPGI_03597	454	S1_30	463	6.2e-172	565.3	4	461	2	451	98.7	1	high		
GUT_GENOME082304_110___32764___34185___+___HJIBOKND_05920	473	S1_99	469	6.2e-258	849.0	5	469	2	465	98.9	1	high		
GUT_GENOME082304_41___87540___88889___-___HJIBOKND_02061	449	S1_8	443	5.1e-122	400.4	2	430	2	417	96.6	1	high	3.10.1.1 3.1.6.- 	
GUT_GENOME100553_28___56915___58426___+___GOHFGBAI_02399	503	S1_15	471	2.9e-170	559.9	2	468	18	481	98.9	1	high	3.1.6.4 	
GUT_GENOME029446_19___24786___26255___+___OCLNPGGP_01612	489	S1_61	451	4.8e-208	684.2	1	450	2	455	99.6	1	high		
GUT_GENOME096460_247___47___1183___+___ADMJHJAO_04917	378	S1_64	483	6.3e-121	397.7	122	483	2	368	74.7	1	high		
GUT_GENOME082304_84___33650___34627___-___HJIBOKND_04427	325	S1_14	426	4.2e-137	450.1	2	317	6	324	73.9	1	high		
GUT_GENOME004912_197___4569___6233___+___PBCFILAN_05513	554	S1_46	459	3.9e-140	460.2	1	451	6	447	98.0	1	high		
GUT_GENOME023674_49___25065___26429___-___KNNAIKAL_03779	454	S1_30	463	6.2e-172	565.3	4	461	2	451	98.7	1	high		
GUT_GENOME000264_25___14475___15212___-___EJGDIAPN_05227	245	S1_83	449	1.9e-115	379.0	2	241	2	240	53.2	1	high		
GUT_GENOME000264_25___13876___14457___-___EJGDIAPN_05226	193	S1_83	449	1.2e-100	330.2	251	442	2	193	42.5	1	high		
GUT_GENOME082873_62___22235___23653___+___INFABIKJ_01718	472	S1_16	444	2.2e-177	582.8	2	435	2	465	97.5	1	high		
GUT_GENOME060853_22___8050___9444___+___JEGJLKHA_01804	464	S1_20	444	2.4e-183	602.7	2	435	28	463	97.5	1	high		
GUT_GENOME000264_22___97575___99020___+___EJGDIAPN_05007	481	S1_46	459	7.3e-195	640.6	2	457	3	462	99.1	1	high		
GUT_GENOME082304_30___104178___105596___-___HJIBOKND_01316	472	S1_16	444	2.2e-177	582.8	2	435	2	465	97.5	1	high		
GUT_GENOME029446_30___48167___49585___+___OCLNPGGP_02184	472	S1_16	444	8.6e-178	584.2	2	436	2	466	97.7	1	high		
GUT_GENOME091102_3___15139___16605___-___GEHODAGD_00512	488	S1_52	473	6.5e-225	740.2	2	472	2	485	99.4	1	high		
GUT_GENOME082873_11___32301___33722___-___INFABIKJ_00305	473	S1_99	469	1.7e-257	847.5	5	469	2	465	98.9	1	high		
GUT_GENOME080798_2___26805___28349___-___HAGIENJO_00036	514	S1_108	495	3.8e-122	401.5	3	490	21	501	98.4	1	high		
GUT_GENOME090241_453___6118___7593___-___BJLFBJEB_04823	491	S1_43	470	1.7e-225	742.0	2	470	3	468	99.6	1	high		
GUT_GENOME004912_172___2740___4077___+___PBCFILAN_05221	445	S1_83	449	5.5e-221	726.8	2	442	2	445	98.0	1	high		
GUT_GENOME100553_51___29245___30609___-___GOHFGBAI_03483	454	S1_30	463	6.2e-172	565.3	4	461	2	451	98.7	1	high		
GUT_GENOME000264_1___667902___669398___-___EJGDIAPN_00551	498	S1_64	483	3.6e-194	639.2	1	483	3	486	99.8	1	high		
GUT_GENOME029446_55___17693___19075___-___OCLNPGGP_03158	460	S1_17	425	2e-129	424.8	2	410	6	453	96.0	1	high	3.1.6.- 	
GUT_GENOME063111_46___15512___17176___-___MLIDNPGI_03449	554	S1_46	459	5.4e-140	459.8	1	451	6	447	98.0	1	high		
GUT_GENOME029446_31___11014___12435___+___OCLNPGGP_02201	473	S1_99	469	2e-256	844.0	5	469	2	465	98.9	1	high		
GUT_GENOME063111_62___34066___35487___-___MLIDNPGI_04142	473	S1_99	469	6.2e-258	849.0	5	469	2	465	98.9	1	high		
GUT_GENOME082873_144___145674___147149___+___INFABIKJ_04495	491	S1_64	483	1.9e-220	725.9	1	483	3	487	99.8	1	high		
GUT_GENOME060853_90___9___641___-___JEGJLKHA_03677	210	S3	508	5.5e-71	232.5	5	195	14	203	37.4	1	probable fragment		
GUT_GENOME096460_314___10516___11979___-___ADMJHJAO_05612	487	S1_15	471	7.9e-171	561.8	2	468	2	465	98.9	1	high	3.1.6.4 	
GUT_GENOME063111_19___46375___47793___-___MLIDNPGI_01869	472	S1_16	444	2.2e-177	582.8	2	435	2	465	97.5	1	high		
GUT_GENOME060853_3___101145___102581___+___JEGJLKHA_00369	478	S1_27	454	2e-194	639.5	1	447	23	476	98.2	1	high	3.1.6.12 3.1.6.- 	
GUT_GENOME082873_82___37252___38916___+___INFABIKJ_02300	554	S1_46	459	1.6e-140	461.5	1	451	6	447	98.0	1	high		
GUT_GENOME090241_110___9084___10424___-___BJLFBJEB_01126	446	S1_46	459	9.1e-97	317.3	10	443	1	443	94.3	1	high		
GUT_GENOME023674_24___30527___32041___+___KNNAIKAL_02515	504	S1_11	498	1.1e-184	607.7	7	489	2	498	96.8	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME082873_5___173181___174692___+___INFABIKJ_00179	503	S1_15	471	2.9e-170	559.9	2	468	18	481	98.9	1	high	3.1.6.4 	
GUT_GENOME004912_136___16300___17775___-___PBCFILAN_04727	491	S1_43	470	2.1e-225	741.6	2	470	3	468	99.6	1	high		
GUT_GENOME084445_651___6061___7677___-___KKOGDCMD_04456	538	S1_4	536	4.3e-178	586.0	1	513	4	530	95.5	1	high	3.1.6.1 	
GUT_GENOME093573_24___3452___4873___+___GEGFECFM_01750	473	S1_46	459	4.9e-97	318.1	2	447	3	467	96.9	1	high		
GUT_GENOME082304_61___22096___23712___-___HJIBOKND_03260	538	S1_4	536	1.2e-177	584.6	1	513	4	530	95.5	1	high	3.1.6.1 	
GUT_GENOME082873_153___48223___49737___-___INFABIKJ_04670	504	S1_11	498	2.4e-185	609.9	7	489	2	498	96.8	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME000264_17___98736___100100___-___EJGDIAPN_04304	454	S1_30	463	6.2e-172	565.3	4	461	2	451	98.7	1	high		
GUT_GENOME096460_4___134077___135528___-___ADMJHJAO_00121	483	S1_95	479	4.2e-221	727.6	1	478	6	480	99.6	1	high		
GUT_GENOME004912_20___13801___15267___-___PBCFILAN_01316	488	S1_52	473	1.5e-224	739.0	2	472	2	485	99.4	1	high		
GUT_GENOME082873_148___17794___19239___-___INFABIKJ_04546	481	S1_46	459	7.3e-195	640.6	2	457	3	462	99.1	1	high		
GUT_GENOME023674_73___24445___25896___+___KNNAIKAL_04635	483	S1_26	443	8.1e-199	653.9	2	441	4	458	99.1	1	high		
GUT_GENOME096207_4___767143___768759___-___FPAHEDEG_06368	538	S1_4	536	2.4e-178	586.8	1	513	4	530	95.5	1	high	3.1.6.1 	
GUT_GENOME025112_13___89751___91295___-___LNFPPNAB_01549	514	S1_108	495	3.8e-122	401.5	3	490	21	501	98.4	1	high		
GUT_GENOME070852_161___31686___33023___-___GEACAIOJ_01406	445	S1_83	449	1.6e-220	725.3	2	442	2	445	98.0	1	high		
GUT_GENOME029446_77___9548___11029___-___OCLNPGGP_03806	493	S1_64	483	1e-219	723.4	1	483	3	487	99.8	1	high		
GUT_GENOME090241_171___14624___16126___+___BJLFBJEB_01764	500	S1_82	464	2.1e-237	781.0	2	461	3	468	98.9	1	high		
GUT_GENOME070852_691___1493___2914___-___GEACAIOJ_05706	473	S1_99	469	6.2e-258	849.0	5	469	2	465	98.9	1	high		
GUT_GENOME096207_4___475235___476701___+___FPAHEDEG_06103	488	S1_46	459	2.7e-150	493.7	2	456	2	445	98.9	1	high		
GUT_GENOME096460_110___5636___6973___+___ADMJHJAO_03150	445	S1_83	449	4.3e-221	727.2	2	442	2	445	98.0	1	high		
GUT_GENOME023674_15___45739___47160___+___KNNAIKAL_01873	473	S1_46	459	1.4e-95	313.4	2	447	3	467	96.9	1	high		
